model,quant,mode,problem_id,run_id,duration_s,tokens,success,tool_calls,context_len,inter_token_avg_ms,inter_token_p95_ms,ttft_ms,energy_joules,energy_per_token_j,tps
gemma-3n-e2b-it,Q4_K_M,full_tool,10,3,120.128256,95,False,3,3359,1211.861935754617,1414.6432280540466,0.008821487426757812,3071.8241894135485,31.998168639724465,0.7908214367151056
gemma-3n-e2b-it,Q4_K_M,full_tool,13,0,160.834867,106,False,3,2943,1470.3168690761672,2118.8880681991573,0.010013580322265625,2671.952794966501,24.971521448285056,0.659061072870474
gemma-3n-e2b-it,Q4_K_M,full_tool,13,1,141.879046,106,False,3,2938,1284.5643012323112,1554.6464443206787,0.010013580322265625,3713.6488681569103,34.706998767821595,0.7471152575976583
gemma-3n-e2b-it,Q4_K_M,full_tool,10,2,96.61066,77,False,2,2343,1199.3631307895366,1387.866163253784,0.027179718017578125,2583.8754215800773,33.12660796897535,0.7970134972683139
gemma-3n-e2b-it,Q4_K_M,full_tool,11,0,315.135891,48,False,5,3327,1334.2339165356696,2850.570440292358,0.010967254638671875,1704.9556962940692,34.795014210083046,0.15231524358486986
gemma-3n-e2b-it,Q4_K_M,full_tool,11,1,403.412417,309,True,3,3119,1288.685570224639,1610.2067947387698,0.009775161743164062,10724.084072787768,34.59381958963796,0.7659655156326038
gemma-3n-e2b-it,Q4_K_M,full_tool,10,4,38.097559,31,False,1,2088,1093.772940337658,2243.276083469391,0.010967254638671875,854.5825870280266,26.705705844625832,0.8137004263186521
gemma-3n-e2b-it,Q4_K_M,full_tool,14,0,161.601502,119,True,3,2571,1316.6603187719982,1540.3461456298824,0.0152587890625,4271.667277050495,35.59722730875412,0.7363792942964107
gemma-3n-e2b-it,F16,full_tool,38,4,7.528113,197,False,3,3390,29.56618323470607,95.49922943115232,0.011205673217773438,115.10021356344225,0.5813142099163751,26.16857637498268
gemma-3n-e2b-it,F16,full_tool,39,1,11.619363,269,False,3,4155,36.767289373609756,73.81272315978927,0.010013580322265625,125.9831097152233,0.46660411005638264,23.151010946125016
gemma-3n-e2b-it,F16,full_tool,37,2,5.50933,89,False,3,4873,43.240812089708115,50.88746547698974,0.009298324584960938,30.567121659278868,0.3396346851030985,16.154414420628278
gemma-3n-e2b-it,F16,full_tool,35,4,5.379765,91,False,3,3162,41.87964097313259,49.563384056091316,0.011205673217773438,30.134765159130097,0.3275517952079358,16.915237003846823
gemma-3n-e2b-it,F16,full_tool,37,3,5.559187,89,False,3,4873,42.673420906066895,107.8272819519043,0.010013580322265625,49.70367358589172,0.5522630398432413,16.00953520721645
gemma-3n-e2b-it,F16,full_tool,39,0,11.579112,269,False,3,4155,36.21014400764748,98.94864559173584,0.010967254638671875,79.63459467673302,0.2949429432471593,23.231487872299706
gemma-3n-e2b-it,F16,full_tool,35,2,5.512557,91,False,3,3162,41.857076727825664,93.14160346984865,0.011920928955078125,48.61590805578232,0.5284337832150252,16.507765815392023
